Θέση στο Dashboard (βλ. ppt),Πληροφορία,A/A Σχετικού KPI,Τρόπος Απεικόνισης,Α/Α,KPI,Τιμή
A1,Πλήθος Υπογεγραμμένων Συμβάσεων (YTD),A.1.1.,Αριθμός και % εντός χρωματισμένου πλαισίου,Α.1.1,Πλήθος Υπογεγραμμένων Συμβάσεων 2022 (YTD),11.0
, % μεταβολή από την προηγούμενη χρονιά (ίδια περίοδος),A.1.3,,Α.1.2,Πλήθος Υπογεγραμμένων Συμβάσεων 2021 (ίδια περίοδος),10.0
,,,,A.1.3,% Μεταβολή (=(Α.1.1-Α.1.2)/Α.1.1),0.1
A2,Αξία Υπογεγραμμένων Συμβάσεων YTD),Α.2.1.,Αριθμός και % εντός χρωματισμένου πλαισίου,Α.2.1.,Αξία Υπογεγραμμένων Συμβάσεων 2022 (YTD),2039250.7824
,% μεταβολή από την προηγούμενη χρονιά (ίδια περίοδος),Α.2.2.,,Α.2.2.,Αξία Υπογεγραμμένων Συμβάσεων 2021 (ίδια περίοδος),889378.7200000001
,,Α.2.3.,,Α.2.3.,% Μεταβολή (=(Α.2.1-Α.2.2)/Α.2.1),1.2928936082482383
Α3,Ύψος πραγματοποιημένων πληρωμών (YTD),Α.3.1.,Αριθμός εντός χρωματισμένου πλαισίου με 3 στήλες,Α.3.1.,Αξία Πραγματοποιημένων Πληρωμών,93713.26
,Ύψος εκκρεμών πληρωμών ,Α.3.2.,,Α.3.2.,Ύψος εκκρεμών πληρωμών,1945537.5224000001
,Ύψος εκκρεμών πληρωμών (έως 31/12 τρέχοντος έτους),Α.3.3.,,Α.3.3.,Ύψος εκκρεμών πληρωμών (έως 31/12),211740.18
Β1,% Κατανομή υπογεγραμμένων συμβάσεων (YTD) με βάση την τρέχουσα κατάσταση,Β.1.3.&Β.1.4.,Pie chart,Β.1.1.,Πλήθος Ολοκληρωμένων Συμβάσεων,3.0
,,,,Β.1.2.,Πλήθος Εν Εξελίξει Συμβάσεων,8.0
,,,,Β.1.3.,% Ολοκληρωμένων Συμβάσεων (=Β.1.1./Α.1.1.),0.2727272727272727
,,,,Β.1.4.,% Εν εξελίξει Συμβάσεων (=Β.1.2./Α.1.1.),0.7272727272727273
B2,Breakdown υπογεγραμμένων συμβάσεων (YTD) με βάση την κατηγορία,B.2.1. - B.2.5.,Bar chart,B.2.1.,"Πλήθος Συμβάσεων της κατηγορίας ""Μελέτη""",1.0
,,,,Β.2.2.,"Πλήθος Συμβάσεων της Κατηγορίας ""Τεχνική / Επιστημονική Υπηρεσία""",1.0
,,,,Β.2.3.,"Πλήθος Συμβάσεων της κατηγορίας ""Γενική Υπηρεσία""",2.0
,,,,Β.2.4.,"Πλήθος Συμβάσεων της κατηγορίας ""Έργα""",4.0
,,,,Β.2.5.,"Πλήθος Συμβάσεων της κατηγορίας ""Προμήθεια""",3.0
Β3,% Κατανομή υπογεγραμμένων συμβάσεων (YTD) με βάση την τρέχουσα έκδοση,Β.3.4. - Β.3.6.,Pie chart,Β.3.1.,"Πλήθος Συμβάσεων ""Αρχική Έκδοση""",11.0
,,,,Β.3.2,"Πλήθος Συμβάσεων ""Τροποποίηση Σύμβασης""",0.0
,,,,Β.3.3.,"Πλήθος Συμβάσεων ""Συμπλήρωση Σύμβασης""",0.0
,,,,Β.3.4.,"% Συμβάσεων ""Αρχική Έκδοση"" (=Β.3.1. / Α.1.1.)",1.0
,,,,Β.3.5.,"% Συμβάσεων ""Τροποποίηση Σύμβασης"" (=Β.3.2./Α.1.1.)",0.0
,,,,Β.3.6.,"%Συμβάσεων ""Συμπλήρωση Σύμβασης"" (=Β.3.3. / Α.1.1.)",0.0
Γ1,Πλήθος Μοναδιαίων Αναδόχων (YTD),Γ.1.1.,Αριθμός εντός χρωματισμένου πλαισίου με 2 στήλες,Γ.1.1.,# Μοναδιαίων Αναδόχων,11.0
,Πλήθος Μοναδιαίων CPV (YTD),Γ.1.2.,,Γ.1.2.,# Μοναδιαίων CPV,11.0
